x,u
0,0
0.01,3.33338e-005
0.02,7.07733e-005
0.03,0.000116792
0.04,0.000176617
0.05,0.000256649
0.06,0.000364938
0.07,0.000511724
0.08,0.00071006
0.09,0.000976524
0.1,0.00133204
0.11,0.00180277
0.12,0.00242115
0.13,0.00322692
0.14,0.00426828
0.15,0.00560299
0.16,0.00729942
0.17,0.00943752
0.18,0.0121095
0.19,0.0154202
0.2,0.0194872
0.21,0.02444
0.22,0.0304187
0.23,0.0375723
0.24,0.0460553
0.25,0.056024
0.26,0.0676314
0.27,0.0810216
0.28,0.0963229
0.29,0.11364
0.3,0.133048
0.31,0.154581
0.32,0.178226
0.33,0.203917
0.34,0.231528
0.35,0.260866
0.36,0.291672
0.37,0.32362
0.38,0.356316
0.39,0.38931
0.4,0.4221
0.41,0.454143
0.42,0.484872
0.43,0.51371
0.44,0.540089
0.45,0.563465
0.46,0.583343
0.47,0.599288
0.48,0.610944
0.49,0.618046
0.5,0.620431
0.51,0.618046
0.52,0.610944
0.53,0.599288
0.54,0.583343
0.55,0.563465
0.56,0.540089
0.57,0.51371
0.58,0.484872
0.59,0.454143
0.6,0.4221
0.61,0.38931
0.62,0.356316
0.63,0.32362
0.64,0.291672
0.65,0.260866
0.66,0.231528
0.67,0.203917
0.68,0.178226
0.69,0.154581
0.7,0.133048
0.71,0.11364
0.72,0.0963229
0.73,0.0810216
0.74,0.0676314
0.75,0.056024
0.76,0.0460553
0.77,0.0375723
0.78,0.0304187
0.79,0.02444
0.8,0.0194872
0.81,0.0154202
0.82,0.0121095
0.83,0.00943752
0.84,0.00729942
0.85,0.00560299
0.86,0.00426828
0.87,0.00322692
0.88,0.00242115
0.89,0.00180277
0.9,0.00133204
0.91,0.000976524
0.92,0.00071006
0.93,0.000511724
0.94,0.000364938
0.95,0.000256649
0.96,0.000176617
0.97,0.000116792
0.98,7.07733e-005
0.99,3.33338e-005
1,0
